UID	HSCP-1_AML:HSCP-1_AML	HSCP-2_AML:HSCP-2_AML	IG2_AML:IG2_AML	DC_AML:DC_AML	Mono_AML:Mono_AML	Myelocyte_AML:Myelocyte_AML
AML--positive:Cd9	4.02249513361	1.17589479462	1.88186640482	2.83827257255	1.21274353465	-0.789936062946
AML--positive:Anxa2	1.62929859722	4.01336842546	4.54385223242	-2.49967114276	1.26738505458	0.496922335982
AML--positive:Gm12070	1.13765812247	1.39687504106	1.67088942101	1.90738762922	1.76343995042	0.931088655768
AML--positive:Gpr114	0.0228146885455	0.3284055075	0.101895216538	1.54959165159	0.705373663176	0.0
AML--positive:Rps27rt	2.163216834	2.24790276189	3.36603048829	6.76611096071	2.98428238945	0.913634792589
AML--positive:Plek	2.84857853306	2.14376217941	4.26310267998	-0.800628163212	1.86543648244	0.2467435195
AML--positive:Lmtk2	1.50720212472	1.03579934803	2.05481454802	0.438371281224	0.129734065339	1.52724995823
AML--positive:Il10ra	-0.68717695386	0.52245225574	2.56277197462	-0.2938040451	1.5515877845	1.33864026161
AML--positive:Tubb2a	-0.0385524301818	1.78570305987	-0.264663037302	2.17207976565	-0.40987209599	0.052779125125
AML--positive:Daglb	3.07650768246	2.13386600859	2.50501014349	4.92050483341	1.10160090308	-0.0431145528929
AML--positive:Plp2	-0.795464728354	0.897928475493	4.91861308237	-2.12479130639	1.8593818599	-0.524836303786
AML--positive:Laptm4b	0.86098445003	0.0412619777862	2.24056574396	2.1501647475	1.66459356406	0.451521273232
AML--positive:Hfe	1.08486998865	0.112484611968	-0.700266755409	6.28632620953	-1.13880532236	1.68402308
AML--negative:Rpl31-ps12	-3.53643250645	-3.63038797298	-4.03697354726	-1.89873893102	-4.30415947575	-2.92069810043
AML--negative:Rn45s	-0.593607550408	-0.389461245224	-1.46602318831	-0.603421172347	-1.15465034607	-1.90732482816
AML--negative:Hsp90aa1	-0.288699605228	-1.26843718711	-0.626529322729	-1.12616711433	-0.695798210911	-1.24781628893
AML--negative:Spry2	-3.06931998287	-4.22002526488	-2.47812382359	-0.0921081728882	-0.533548603694	1.84082973241
AML--negative:Ldhb	-1.80567572355	-2.98598315284	-3.96357142872	-0.152707629088	-2.7698242096	-2.70495006314
AML--negative:Mir703	-3.33889949641	-1.61770936564	-2.35935099474	-1.61048709381	-2.37719084113	-0.9866505005
AML--negative:Colec12	-2.00903988778	-1.93352274714	-0.962305416157	-1.88594056695	-0.592286597076	0.107535388804
AML--negative:Hspa8	-0.502449522404	-0.0263122957586	-0.350870949908	-1.36169372585	-0.768913937019	-2.57368687834
AML--negative:Dusp6	-5.2121235025	-3.00836571591	-2.38858204761	0.0989353651765	-1.35435788603	-0.556085925589
AML--negative:Intu	-1.44383449022	-1.8836100883	-0.638929752782	-1.97238782299	-0.121494327645	-0.721629165304
AML--negative:Rnf168	-0.915648132268	-1.62008238303	-1.37927868542	-2.85993425309	-0.617713363698	-0.652192044375
AML--negative:Dnaja1	-0.21835639155	-1.09767367717	-0.508715903474	1.99379410078	-1.87773456874	-0.5533145945
AML--negative:Rmi2	-0.125442060236	-1.03934339205	-1.05296938416	-0.00919531784118	-1.04208406899	-1.80935096446
AML--negative:Kmt2d	-0.875408574019	-0.637246865446	-1.16003584745	-1.47485038687	-0.249618004369	-0.035300867
AML--negative:Kdelr2	-0.691554746836	-3.24013924045	-0.518299705538	-1.07860287568	-0.196863054611	-0.357586774089
AML--negative:Ripply3	-0.969753602571	-0.786676446333	-1.44660393007	0.0133719462588	-0.539768755807	-1.06280740532
AML--negative:Ppp1r12b	-1.11561238939	-1.95842612734	-0.465545822606	-1.15636880955	-0.660384109839	-0.895865123446
AML--negative:2610507I01Rik	-1.52481783153	-1.73676357788	-0.437405277689	-2.20851830166	-0.562855017019	0.517301666429
